i,x,Q,c,direction x,direction y,||direction||,alpha,"f(x,y)"
136,[0.48813633 0.84745654],"[[20  5]
 [ 5 16]]",[14 16],1.061990273143465e-05,-1.5685946692656216e-05,1.894284185833756e-05,0.01,-0.1966101694806639
137,[0.48813624 0.84745668],"[[20  5]
 [ 5 16]]",[14 16],9.280219519069988e-06,-1.3707190356981869e-05,1.655323357548803e-05,0.01,-0.1966101694832325
138,[0.48813615 0.8474568 ],"[[20  5]
 [ 5 16]]",[14 16],8.10953513408208e-06,-1.1978050876493285e-05,1.4465070441956831e-05,0.01,-0.1966101694851936
139,[0.48813608 0.8474569 ],"[[20  5]
 [ 5 16]]",[14 16],7.086530651179146e-06,-1.0467039492922936e-05,1.2640325645192451e-05,0.01,-0.1966101694866893
140,[0.48813602 0.84745699],"[[20  5]
 [ 5 16]]",[14 16],6.192576496033553e-06,-9.146639706969495e-06,1.1045769397753069e-05,0.01,-0.19661016948783328
141,[0.48813597 0.84745707],"[[20  5]
 [ 5 16]]",[14 16],5.4113931824417705e-06,-7.99280617869158e-06,9.652363792621348e-06,0.01,-0.19661016948870724
142,[0.48813592 0.84745714],"[[20  5]
 [ 5 16]]",[14 16],4.728754854355088e-06,-6.984526848441419e-06,8.434734007020365e-06,0.01,-0.1966101694893716
143,[0.48813588 0.8474572 ],"[[20  5]
 [ 5 16]]",[14 16],4.13223022555087e-06,-6.103440295390783e-06,7.370706212864282e-06,0.01,-0.19661016948987964
144,[0.48813584 0.84745726],"[[20  5]
 [ 5 16]]",[14 16],3.610956195387871e-06,-5.333501357895898e-06,6.440903770410441e-06,0.01,-0.19661016949026866
145,[0.48813581 0.8474573 ],"[[20  5]
 [ 5 16]]",[14 16],3.1554400248268166e-06,-4.660688951219072e-06,5.628394375867295e-06,0.01,-0.1966101694905653
146,[0.48813578 0.84745734],"[[20  5]
 [ 5 16]]",[14 16],2.757386466711864e-06,-4.072750719785745e-06,4.9183817005516195e-06,0.01,-0.19661016949079269
147,[0.48813576 0.84745738],"[[20  5]
 [ 5 16]]",[14 16],2.409546707937693e-06,-3.5589799303181735e-06,4.29793595603063e-06,0.01,-0.19661016949096677
148,[0.48813574 0.84745741],"[[20  5]
 [ 5 16]]",[14 16],2.1055863648200557e-06,-3.1100204758161e-06,3.7557584187100663e-06,0.01,-0.19661016949109822
149,[0.48813572 0.84745744],"[[20  5]
 [ 5 16]]",[14 16],1.8399701140481284e-06,-2.7176965176067824e-06,3.2819756827865613e-06,0.01,-0.19661016949120125
150,[0.4881357  0.84745746],"[[20  5]
 [ 5 16]]",[14 16],1.607860916408299e-06,-2.3748635822329334e-06,2.8679598603762876e-06,0.01,-0.19661016949127585
151,[0.48813569 0.84745748],"[[20  5]
 [ 5 16]]",[14 16],1.4050319130376465e-06,-2.0752784539723734e-06,2.506171450275538e-06,0.01,-0.19661016949133447
152,[0.48813568 0.8474575 ],"[[20  5]
 [ 5 16]]",[14 16],1.2277894523293753e-06,-1.8134854986584514e-06,2.1900220531071734e-06,0.01,-0.19661016949138066
153,[0.48813567 0.84745752],"[[20  5]
 [ 5 16]]",[14 16],1.0729058370628763e-06,-1.5847172907257345e-06,1.9137543799371704e-06,0.01,-0.1966101694914144
154,[0.48813566 0.84745753],"[[20  5]
 [ 5 16]]",[14 16],9.3756053409777e-07,-1.3848078168621214e-06,1.6723374195239817e-06,0.01,-0.19661016949143928
155,[0.48813565 0.84745754],"[[20  5]
 [ 5 16]]",[14 16],8.19288818121322e-07,-1.2101165935973768e-06,1.4613748107854983e-06,0.01,-0.19661016949145882
156,[0.48813564 0.84745755],"[[20  5]
 [ 5 16]]",[14 16],7.159368831111124e-07,-1.0574623789949555e-06,1.277024785816049e-06,0.01,-0.1966101694914748
157,[0.48813564 0.84745756],"[[20  5]
 [ 5 16]]",[14 16],6.256226257050912e-07,-9.240652421027562e-07,1.1159302135243754e-06,0.01,-0.19661016949148724
